scientific_name,state,state_abbreviation,country
Oncorhynchus gilae,New Mexico,NM,United States
Oncorhynchus gilae,Arizona,AZ,United States
Dendroica chrysoparia,Texas,TX,United States
Aquila chrysaetos,Texas,TX,United States
Aquila chrysaetos,Montana,MT,United States
Castilleja levisecta,Oregon,OR,Canada
Castilleja levisecta,Washington,WA,Canada
Castilleja levisecta,Washington,WA,United States
Castilleja levisecta,Oregon,OR,United States
Percina aurolineata,Tennessee,TN,United States
Percina aurolineata,Georgia,GA,United States
Percina aurolineata,Alabama,AL,United States
Gopherus polyphemus,Alabama,AL,United States
Gopherus polyphemus,Mississippi,MS,United States
Gopherus polyphemus,Louisiana,LA,United States
Myotis grisescens,Arkansas,AR,United States
Myotis grisescens,Arkansas,AR,United States
Myotis grisescens,Tennessee,TN,United States
Myotis grisescens,Tennessee,TN,United States
Myotis grisescens,Missouri,MO,United States
Myotis grisescens,Kentucky,KY,United States
Myotis grisescens,West Virginia,WV,United States
Myotis grisescens,West Virginia,WV,United States
Myotis grisescens,Virginia,VA,United States
Myotis grisescens,Georgia,GA,United States
Myotis grisescens,Missouri,MO,United States
Myotis grisescens,Oklahoma,OK,United States
Myotis grisescens,Georgia,GA,United States
Myotis grisescens,Illinois,IL,United States
Myotis grisescens,Illinois,IL,United States
Myotis grisescens,Mississippi,MS,United States
Myotis grisescens,Indiana,IN,United States
Myotis grisescens,Mississippi,MS,United States
Myotis grisescens,Florida,FL,United States
Myotis grisescens,Florida,FL,United States
Myotis grisescens,North Carolina,NC,United States
Myotis grisescens,North Carolina,NC,United States
Myotis grisescens,Oklahoma,OK,United States
Myotis grisescens,Virginia,VA,United States
Myotis grisescens,Indiana,IN,United States
Myotis grisescens,Alabama,AL,United States
Myotis grisescens,Alabama,AL,United States
Myotis grisescens,Kansas,KS,United States
Myotis grisescens,Kansas,KS,United States
Myotis grisescens,Kentucky,KY,United States
Oncorhynchus clarkii stomias,Utah,UT,United States
Oncorhynchus clarkii stomias,Colorado,CO,United States
Sarracenia oreophila,North Carolina,NC,United States
Sarracenia oreophila,Georgia,GA,United States
Sarracenia oreophila,Georgia,GA,United States
Sarracenia oreophila,Georgia,GA,United States
Sarracenia oreophila,Alabama,AL,United States
Sarracenia oreophila,Alabama,AL,United States
Sarracenia oreophila,Alabama,AL,United States
Sarracenia oreophila,North Carolina,NC,United States
Sarracenia oreophila,North Carolina,NC,United States
Chelonia mydas,South Carolina,SC,United States
Chelonia mydas,Virginia,VA,United States
Chelonia mydas,Texas,TX,United States
Chelonia mydas,North Carolina,NC,United States
Chelonia mydas,Florida,FL,United States
Chelonia mydas,Northern Mariana Islands,MP,United States
Chelonia mydas,Guam,GU,United States
Chelonia mydas,Palau,PW,United States
Chelonia mydas,Northern Mariana Islands,MP,United States
Chelonia mydas,Guam,GU,United States
Chelonia mydas,Hawaii,HI,United States
Acipenser medirostris,,,Canada
Ursus arctos horribilis,Montana,MT,United States
Ursus arctos horribilis,Wyoming,WY,United States
Ursus arctos horribilis,Washington,WA,United States
Ursus arctos horribilis,Idaho,ID,United States
Eleutherodactylus cooki,Puerto Rico,PR,United States
Herpailurus (=Felis) yagouaroundi cacomitli,Texas,TX,United States
Medionidus penicillatus,Florida,FL,United States
Medionidus penicillatus,Alabama,AL,United States
Medionidus penicillatus,Georgia,GA,United States
Centrocercus minimus,Utah,UT,United States
Centrocercus minimus,Colorado,CO,United States
Cambarus veteranus,West Virginia,WV,United States
Harperocallis flava,Florida,FL,United States
Loxops coccineus,Hawaii,HI,United States
Fulica americana alai,Hawaii,HI,United States
Branta (=Nesochen) sandvicensis,Hawaii,HI,United States
Branta (=Nesochen) sandvicensis,Hawaii,HI,United States
Lasiurus cinereus semotus,Hawaii,HI,United States
Anas wyvilliana,Hawaii,HI,United States
Himantopus mexicanus knudseni,Hawaii,HI,United States
Vicia menziesii,Hawaii,HI,United States
Eretmochelys imbricata,New York,NY,United States
Eretmochelys imbricata,Texas,TX,United States
Eretmochelys imbricata,Massachusetts,MA,United States
Eretmochelys imbricata,Virginia,VA,United States
Eretmochelys imbricata,Puerto Rico,PR,United States
Eretmochelys imbricata,New Jersey,NJ,United States
Eretmochelys imbricata,New Hampshire,NH,United States
Eretmochelys imbricata,Hawaii,HI,United States
Eretmochelys imbricata,Alabama,AL,United States
Eretmochelys imbricata,Rhode Island,RI,United States
Eretmochelys imbricata,Louisiana,LA,United States
Eretmochelys imbricata,Georgia,GA,United States
Eretmochelys imbricata,Maine,ME,United States
Eretmochelys imbricata,Mississippi,MS,United States
Eretmochelys imbricata,Florida,FL,United States
Eretmochelys imbricata,North Carolina,NC,United States
Eretmochelys imbricata,Connecticut,CT,United States
Eretmochelys imbricata,Guam,GU,United States
Eretmochelys imbricata,Palau,PW,United States
Eretmochelys imbricata,American Samoa,AS,United States
Eretmochelys imbricata,Delaware,DE,United States
Eretmochelys imbricata,Virgin Islands,VI,United States
Eretmochelys imbricata,Maryland,MD,United States
Eretmochelys imbricata,Northern Mariana Islands,MP,United States
Cambarus zophonastes,Arkansas,AR,United States
Lampsilis higginsii,South Dakota,SD,United States
Lampsilis higginsii,Wisconsin,WI,United States
Lampsilis higginsii,Missouri,MO,United States
Lampsilis higginsii,Minnesota,MN,United States
Lampsilis higginsii,Iowa,IA,United States
Lampsilis higginsii,Illinois,IL,United States
Harrisia portoricensis,Puerto Rico,PR,United States
Harrisia portoricensis,Puerto Rico,PR,United States
Crescentia portoricensis,Puerto Rico,PR,United States
Crescentia portoricensis,Puerto Rico,PR,United States
Somatochlora hineana,Illinois,IL,United States
Somatochlora hineana,Wisconsin,WI,United States
Somatochlora hineana,Michigan,MI,United States
Somatochlora hineana,Missouri,MO,United States
Gila cypha,Arizona,AZ,United States
Gila cypha,Utah,UT,United States
Gila cypha,Nevada,NV,United States
Gila cypha,Wyoming,WY,United States
Gila cypha,Colorado,CO,United States
Brychius hungerfordi,Michigan,MI,United States
Brychius hungerfordi,Michigan,MI,Canada
Drepanis coccinea,Hawaii,HI,United States
Myotis sodalis,Pennsylvania,PA,United States
Myotis sodalis,Iowa,IA,United States
Myotis sodalis,Illinois,IL,United States
Myotis sodalis,Mississippi,MS,United States
Myotis sodalis,North Carolina,NC,United States
Myotis sodalis,Alabama,AL,United States
Myotis sodalis,Michigan,MI,United States
Myotis sodalis,Indiana,IN,United States
Myotis sodalis,Missouri,MO,United States
Myotis sodalis,Tennessee,TN,United States
Myotis sodalis,Ohio,OH,United States
Myotis sodalis,Georgia,GA,United States
Myotis sodalis,Arkansas,AR,United States
Myotis sodalis,Vermont,VT,United States
Myotis sodalis,New York,NY,United States
Myotis sodalis,Kentucky,KY,United States
Myotis sodalis,Virginia,VA,United States
Myotis sodalis,New Jersey,NJ,United States
Myotis sodalis,West Virginia,WV,United States
Myotis sodalis,Connecticut,CT,United States
Myotis sodalis,Oklahoma,OK,United States
Myotis sodalis,Maryland,MD,United States
Eriodictyon altissimum,California,CA,United States
Euchloe ausonides insulanus,Washington,WA,United States
Campephilus principalis,Arkansas,AR,United States
Panthera onca,New Mexico,NM,United States
Panthera onca,Arizona,AZ,United States
Pleurobema collina,North Carolina,NC,United States
Pleurobema collina,West Virginia,WV,United States
Pleurobema collina,Virginia,VA,United States
Eurycea tonkawae,Texas,TX,United States
Chasmistes liorus,Utah,UT,United States
Lycaeides melissa samuelis,Michigan,MI,Canada
Lycaeides melissa samuelis,Indiana,IN,United States
Lycaeides melissa samuelis,Indiana,IN,Canada
Lycaeides melissa samuelis,Ohio,OH,United States
Lycaeides melissa samuelis,Ohio,OH,Canada
Lycaeides melissa samuelis,Illinois,IL,United States
Lycaeides melissa samuelis,Illinois,IL,Canada
Lycaeides melissa samuelis,Minnesota,MN,United States
Lycaeides melissa samuelis,Minnesota,MN,Canada
Lycaeides melissa samuelis,Wisconsin,WI,United States
Lycaeides melissa samuelis,New Hampshire,NH,Canada
Lycaeides melissa samuelis,Wisconsin,WI,Canada
Lycaeides melissa samuelis,New Hampshire,NH,United States
Lycaeides melissa samuelis,New York,NY,Canada
Lycaeides melissa samuelis,New York,NY,United States
Lycaeides melissa samuelis,Michigan,MI,United States
Adelocosa anops,Hawaii,HI,United States
Lepidochelys kempii,Mississippi,MS,United States
Lepidochelys kempii,South Carolina,SC,United States
Lepidochelys kempii,Virginia,VA,United States
Lepidochelys kempii,Texas,TX,United States
Lepidochelys kempii,Georgia,GA,United States
Lepidochelys kempii,Alabama,AL,United States
Lepidochelys kempii,Louisiana,LA,United States
Lepidochelys kempii,North Carolina,NC,United States
Lepidochelys kempii,Florida,FL,United States
Odocoileus virginianus clavium,Florida,FL,United States
Neotoma floridana smalli,Florida,FL,United States
Lupinus sulphureus ssp. kincaidii,Washington,WA,United States
Lupinus sulphureus ssp. kincaidii,Oregon,OR,United States
Lupinus sulphureus ssp. kincaidii,Oregon,OR,United States
Lupinus sulphureus ssp. kincaidii,Washington,WA,United States
Pediocactus knowltonii,New Mexico,NM,United States
Pediocactus knowltonii,Colorado,CO,United States
Pediocactus knowltonii,Colorado,CO,United States
Pediocactus knowltonii,New Mexico,NM,United States
Juturnia kosteri,New Mexico,NM,United States
Echinocereus fendleri var. kuenzleri,New Mexico,NM,United States
Dudleya stolonifera,California,CA,United States
Pyrgus ruralis lagunae,California,CA,United States
Oncorhynchus clarkii henshawi,Oregon,OR,United States
Oncorhynchus clarkii henshawi,Utah,UT,United States
Oncorhynchus clarkii henshawi,California,CA,United States
Oncorhynchus clarkii henshawi,California,CA,United States
Oncorhynchus clarkii henshawi,Nevada,NV,United States
Oncorhynchus clarkii henshawi,Utah,UT,United States
Oncorhynchus clarkii henshawi,Nevada,NV,United States
Oncorhynchus clarkii henshawi,Oregon,OR,United States
Apodemia mormo langei,California,CA,United States
Limnanthes pumila ssp. grandiflora,Oregon,OR,United States
larus atricilla,American Samoa,AS,United States
Chrosomus saylori,Tennessee,TN,United States
Anas laysanensis,Hawaii,HI,United States
Anas laysanensis,Hawaii,HI,United States
Telespyza cantans,Hawaii,HI,United States
Telespyza cantans,Hawaii,HI,United States
Vireo bellii pusillus,California,CA,United States
Ixobrychus exilis,Nevada,NV,United States
Ixobrychus exilis,Arizona,AZ,United States
Ixobrychus exilis,Oregon,OR,United States
Ixobrychus exilis,California,CA,United States
Ixobrychus exilis,Utah,UT,United States
Sterna antillarum,New Mexico,NM,United States
Sterna antillarum,Nebraska,NE,United States
Sterna antillarum,Louisiana,LA,United States
Sterna antillarum,Kansas,KS,United States
Sterna antillarum,Indiana,IN,United States
Sterna antillarum,Texas,TX,United States
Sterna antillarum,Kentucky,KY,United States
Sterna antillarum,South Dakota,SD,United States
Sterna antillarum,Missouri,MO,United States
Sterna antillarum,Tennessee,TN,United States
Sterna antillarum,North Dakota,ND,United States
Sterna antillarum,Oklahoma,OK,United States
Sterna antillarum,Colorado,CO,United States
Sterna antillarum,Illinois,IL,United States
Sterna antillarum,Mississippi,MS,United States
Sterna antillarum,Arkansas,AR,United States
Sterna antillarum,Iowa,IA,United States
Sterna antillarum,Montana,MT,United States
Dermochelys coriacea,Rhode Island,RI,United States
Dermochelys coriacea,Alabama,AL,Canada
Dermochelys coriacea,Hawaii,HI,Canada
Dermochelys coriacea,Hawaii,HI,United States
Dermochelys coriacea,Puerto Rico,PR,Canada
Dermochelys coriacea,North Carolina,NC,United States
Dermochelys coriacea,Washington,WA,Canada
Dermochelys coriacea,Florida,FL,United States
Dermochelys coriacea,North Carolina,NC,Canada
Dermochelys coriacea,Mississippi,MS,United States
Dermochelys coriacea,Florida,FL,Canada
Dermochelys coriacea,Georgia,GA,United States
Dermochelys coriacea,Mississippi,MS,Canada
Dermochelys coriacea,Maine,ME,United States
Dermochelys coriacea,Georgia,GA,Canada
Dermochelys coriacea,Louisiana,LA,United States
Dermochelys coriacea,Maine,ME,Canada
Dermochelys coriacea,California,CA,United States
Dermochelys coriacea,Louisiana,LA,Canada
Dermochelys coriacea,Alabama,AL,United States
Dermochelys coriacea,California,CA,Canada
Dermochelys coriacea,Rhode Island,RI,Canada
Dermochelys coriacea,New York,NY,Canada
Dermochelys coriacea,Massachusetts,MA,Canada
Dermochelys coriacea,New York,NY,United States
Dermochelys coriacea,Texas,TX,United States
Dermochelys coriacea,Texas,TX,Canada
Dermochelys coriacea,Massachusetts,MA,United States
Dermochelys coriacea,Virginia,VA,United States
Dermochelys coriacea,Virginia,VA,Canada
Dermochelys coriacea,South Carolina,SC,United States
Dermochelys coriacea,South Carolina,SC,Canada
Dermochelys coriacea,New Jersey,NJ,United States
Dermochelys coriacea,New Jersey,NJ,Canada
Dermochelys coriacea,New Hampshire,NH,United States
Dermochelys coriacea,New Hampshire,NH,Canada
Dermochelys coriacea,Puerto Rico,PR,United States
Dermochelys coriacea,Virgin Islands,VI,United States
Dermochelys coriacea,Maryland,MD,United States
Dermochelys coriacea,Virgin Islands,VI,Canada
Dermochelys coriacea,Delaware,DE,United States
Dermochelys coriacea,Maryland,MD,Canada
Dermochelys coriacea,Oregon,OR,United States
Dermochelys coriacea,Delaware,DE,Canada
Dermochelys coriacea,Connecticut,CT,United States
Dermochelys coriacea,Oregon,OR,Canada
Dermochelys coriacea,Washington,WA,United States
Dermochelys coriacea,Connecticut,CT,Canada
Coryphantha sneedii var. leei,New Mexico,NM,United States
Cyprinodon bovinus,Texas,TX,United States
Rallus longirostris levipes,California,CA,United States
Amphianthus pusillus,Georgia,GA,United States
Amphianthus pusillus,Georgia,GA,United States
Amphianthus pusillus,Alabama,AL,United States
Amphianthus pusillus,Alabama,AL,United States
Amphianthus pusillus,South Carolina,SC,United States
Amphianthus pusillus,South Carolina,SC,United States
Caretta caretta,Texas,TX,United States
Caretta caretta,South Carolina,SC,United States
Caretta caretta,Oregon,OR,United States
Caretta caretta,Georgia,GA,United States
Caretta caretta,Louisiana,LA,United States
Caretta caretta,Alabama,AL,United States
Caretta caretta,Virginia,VA,United States
Caretta caretta,Mississippi,MS,United States
Caretta caretta,North Carolina,NC,United States
Caretta caretta,Florida,FL,United States
Deltistes luxatus,Oregon,OR,United States
Deltistes luxatus,California,CA,United States
Deltistes luxatus,Oregon,OR,United States
Deltistes luxatus,California,CA,United States
Margaritifera hembeli,Arkansas,AR,United States
Margaritifera hembeli,Louisiana,LA,United States
Pituophis ruthveni,Texas,TX,United States
Pituophis ruthveni,Louisiana,LA,United States
Isoetes louisianensis,Louisiana,LA,United States
Isoetes louisianensis,Mississippi,MS,United States
Isoetes louisianensis,Alabama,AL,United States
Sylvilagus palustris hefneri,Florida,FL,United States
Pentachaeta lyonii,California,CA,United States
Pentachaeta lyonii,California,CA,United States
Astragalus humillimus,Colorado,CO,United States
Astragalus humillimus,New Mexico,NM,United States
Brachyramphus marmoratus,,,Canada
Brachyramphus marmoratus,Washington,WA,United States
Brachyramphus marmoratus,,,Canada
Brachyramphus marmoratus,California,CA,United States
Brachyramphus marmoratus,Washington,WA,United States
Brachyramphus marmoratus,California,CA,United States
Brachyramphus marmoratus,Oregon,OR,United States
Brachyramphus marmoratus,Oregon,OR,United States
Pteropus mariannus mariannus,Northern Mariana Islands,MP,United States
Pteropus mariannus mariannus,Guam,GU,United States
Anas oustaleti,Northern Mariana Islands,MP,United States
Anas oustaleti,Guam,GU,United States
Colinus virginianus ridgwayi,Arizona,AZ,United States
Colinus virginianus ridgwayi,Arizona,AZ,United States
Prietella phreatophila,Texas,TX,United States
Canis lupus baileyi,New Mexico,NM,United States
Canis lupus baileyi,Arizona,AZ,United States
Cyclargus (=Hemiargus) thomasi bethunebakeri,Florida,FL,United States
Ribes echinellum,South Carolina,SC,United States
Ribes echinellum,Florida,FL,United States
Rhus michauxii,South Carolina,SC,United States
Rhus michauxii,North Carolina,NC,United States
Rhus michauxii,Georgia,GA,United States
Rhus michauxii,Virginia,VA,United States
Erythronium propullans,Minnesota,MN,United States
Erythronium propullans,Minnesota,MN,United States
Icaricia icarioides missionensis,California,CA,United States
Grus canadensis pulla,Alabama,AL,United States
Grus canadensis pulla,Mississippi,MS,United States
Moapa coriacea,Nevada,NV,United States
Epicrates monensis monensis,Puerto Rico,PR,United States
Epicrates monensis monensis,Puerto Rico,PR,United States
Epicrates monensis monensis,Puerto Rico,PR,United States
Cyclura stejnegeri,Puerto Rico,PR,United States
Arctostaphylos morroensis,California,CA,United States
Rana muscosa,California,CA,United States
Rana muscosa,California,CA,United States
Rana muscosa,California,CA,United States
Rana muscosa,California,CA,United States
Speyeria zerene myrtleae,California,CA,United States
Sidalcea nelsoniana,Oregon,OR,United States
Sidalcea nelsoniana,Washington,WA,United States
Zapus hudsonius luteus,Colorado,CO,United States
Zapus hudsonius luteus,New Mexico,NM,United States
Zapus hudsonius luteus,Arizona,AZ,United States
Etheostoma nianguae,Missouri,MO,United States
Acrocephalus familiaris kingi,Hawaii,HI,United States
Aristida chaseae,Puerto Rico,PR,United States
Chamaecrista glandulosa var. mirabilis,Puerto Rico,PR,United States
Cranichis ricartii,Puerto Rico,PR,United States
Lepanthes eltoroensis,Puerto Rico,PR,United States
Lyonia truncata var. proctorii,Puerto Rico,PR,United States
Schoepfia arenaria,Puerto Rico,PR,United States
Vernonia proctorii,Puerto Rico,PR,United States
Gammarus desperatus,New Mexico,NM,United States
Cicindela dorsalis dorsalis,Virginia,VA,United States
Cicindela dorsalis dorsalis,Massachusetts,MA,United States
Cicindela dorsalis dorsalis,New Jersey,NJ,United States
Cicindela dorsalis dorsalis,Maryland,MD,United States
Scirpus ancistrochaetus,West Virginia,WV,United States
Scirpus ancistrochaetus,New Hampshire,NH,United States
Scirpus ancistrochaetus,New York,NY,United States
Scirpus ancistrochaetus,Virginia,VA,United States
Scirpus ancistrochaetus,Massachusetts,MA,United States
Scirpus ancistrochaetus,Vermont,VT,United States
Scirpus ancistrochaetus,Maryland,MD,United States
Scirpus ancistrochaetus,Pennsylvania,PA,United States
Falco femoralis septentrionalis,Texas,TX,United States
Urocitellus brunneus,Idaho,ID,United States
Myotis septentrionalis,Montana,MT,United States
Myotis septentrionalis,Montana,MT,United States
Myotis septentrionalis,Kansas,KS,United States
Myotis septentrionalis,New York,NY,United States
Myotis septentrionalis,Indiana,IN,United States
Myotis septentrionalis,Illinois,IL,United States
Myotis septentrionalis,Mississippi,MS,United States
Myotis septentrionalis,Mississippi,MS,United States
Myotis septentrionalis,Vermont,VT,United States
Myotis septentrionalis,Arkansas,AR,United States
Myotis septentrionalis,Arkansas,AR,United States
Myotis septentrionalis,Iowa,IA,United States
Myotis septentrionalis,Nebraska,NE,United States
Myotis septentrionalis,New York,NY,United States
Myotis septentrionalis,Iowa,IA,United States
Myotis septentrionalis,Louisiana,LA,United States
Myotis septentrionalis,Rhode Island,RI,United States
Myotis septentrionalis,Oklahoma,OK,United States
Myotis septentrionalis,Oklahoma,OK,United States
Myotis septentrionalis,Pennsylvania,PA,United States
Myotis septentrionalis,Pennsylvania,PA,United States
Myotis septentrionalis,Wyoming,WY,United States
Myotis septentrionalis,Wyoming,WY,United States
Myotis septentrionalis,Maryland,MD,United States
Myotis septentrionalis,Maryland,MD,United States
Myotis septentrionalis,Maine,ME,United States
Myotis septentrionalis,Maine,ME,United States
Myotis septentrionalis,Rhode Island,RI,United States
Myotis septentrionalis,South Dakota,SD,United States
Myotis septentrionalis,Alabama,AL,United States
Myotis septentrionalis,South Dakota,SD,United States
Myotis septentrionalis,Tennessee,TN,United States
Myotis septentrionalis,Nebraska,NE,United States
Myotis septentrionalis,Indiana,IN,United States
Myotis septentrionalis,Louisiana,LA,United States
Myotis septentrionalis,Alabama,AL,United States
Myotis septentrionalis,Tennessee,TN,United States
Myotis septentrionalis,West Virginia,WV,United States
Myotis septentrionalis,North Carolina,NC,United States
Myotis septentrionalis,Delaware,DE,United States
Myotis septentrionalis,Delaware,DE,United States
Myotis septentrionalis,North Carolina,NC,United States
Myotis septentrionalis,Georgia,GA,United States
Myotis septentrionalis,Ohio,OH,United States
Myotis septentrionalis,District of Columbia,DC,United States
Myotis septentrionalis,Vermont,VT,United States
Myotis septentrionalis,District of Columbia,DC,United States
Myotis septentrionalis,Illinois,IL,United States
Myotis septentrionalis,Massachusetts,MA,United States
Myotis septentrionalis,Massachusetts,MA,United States
Myotis septentrionalis,Virginia,VA,United States
Myotis septentrionalis,Virginia,VA,United States
Myotis septentrionalis,Kentucky,KY,United States
Myotis septentrionalis,Kentucky,KY,United States
Myotis septentrionalis,Missouri,MO,United States
Myotis septentrionalis,Missouri,MO,United States
Myotis septentrionalis,South Carolina,SC,United States
Myotis septentrionalis,South Carolina,SC,United States
Myotis septentrionalis,Kansas,KS,United States
Myotis septentrionalis,New Jersey,NJ,United States
Myotis septentrionalis,New Hampshire,NH,United States
Myotis septentrionalis,New Hampshire,NH,United States
Myotis septentrionalis,Wisconsin,WI,United States
Myotis septentrionalis,Wisconsin,WI,United States
Myotis septentrionalis,North Dakota,ND,United States
Myotis septentrionalis,North Dakota,ND,United States
Myotis septentrionalis,Minnesota,MN,United States
Myotis septentrionalis,Minnesota,MN,United States
Myotis septentrionalis,Connecticut,CT,United States
Myotis septentrionalis,Connecticut,CT,United States
Myotis septentrionalis,Michigan,MI,United States
Myotis septentrionalis,Ohio,OH,United States
Myotis septentrionalis,New Jersey,NJ,United States
Myotis septentrionalis,Michigan,MI,United States
Myotis septentrionalis,West Virginia,WV,United States
Myotis septentrionalis,Georgia,GA,United States
Thamnophis eques megalops,Arizona,AZ,United States
Thamnophis eques megalops,New Mexico,NM,United States
Epioblasma torulosa rangiana,Pennsylvania,PA,United States
Epioblasma torulosa rangiana,Kentucky,KY,United States
Epioblasma torulosa rangiana,Kentucky,KY,United States
Epioblasma torulosa rangiana,Kentucky,KY,United States
Epioblasma torulosa rangiana,Indiana,IN,United States
Epioblasma torulosa rangiana,Indiana,IN,United States
Epioblasma torulosa rangiana,Indiana,IN,United States
Epioblasma torulosa rangiana,Michigan,MI,United States
Epioblasma torulosa rangiana,Michigan,MI,United States
Epioblasma torulosa rangiana,Michigan,MI,United States
Epioblasma torulosa rangiana,New York,NY,United States
Epioblasma torulosa rangiana,New York,NY,United States
Epioblasma torulosa rangiana,New York,NY,United States
Epioblasma torulosa rangiana,Illinois,IL,United States
Epioblasma torulosa rangiana,Illinois,IL,United States
Epioblasma torulosa rangiana,Illinois,IL,United States
Epioblasma torulosa rangiana,Ohio,OH,United States
Epioblasma torulosa rangiana,Ohio,OH,United States
Epioblasma torulosa rangiana,Ohio,OH,United States
Epioblasma torulosa rangiana,West Virginia,WV,United States
Epioblasma torulosa rangiana,West Virginia,WV,United States
Epioblasma torulosa rangiana,West Virginia,WV,United States
Epioblasma torulosa rangiana,Pennsylvania,PA,United States
Epioblasma torulosa rangiana,Pennsylvania,PA,United States
Strix occidentalis caurina,Oregon,OR,United States
Strix occidentalis caurina,California,CA,Canada
Strix occidentalis caurina,California,CA,United States
Strix occidentalis caurina,Washington,WA,Canada
Strix occidentalis caurina,Washington,WA,United States
Strix occidentalis caurina,Oregon,OR,Canada
Vulpes velox hebes,,,Canada
Aconitum noveboracense,Ohio,OH,United States
Aconitum noveboracense,New York,NY,United States
Aconitum noveboracense,Iowa,IA,United States
Aconitum noveboracense,Wisconsin,WI,United States
Phacelia formosula,Colorado,CO,United States
Phacelia formosula,Colorado,CO,United States
Chasiempis ibidis,Hawaii,HI,United States
Myotis lucifugus occultus,California,CA,United States
Myotis lucifugus occultus,New Mexico,NM,United States
Myotis lucifugus occultus,Texas,TX,United States
Myotis lucifugus occultus,Arizona,AZ,United States
Leopardus (=Felis) pardalis,Arizona,AZ,United States
Leopardus (=Felis) pardalis,Texas,TX,United States
Etheostoma okaloosae,Florida,FL,United States
Lepidochelys olivacea,Oregon,OR,United States
Lepidochelys olivacea,California,CA,United States
Lepidochelys olivacea,Hawaii,HI,United States
Contopus cooperi,North Carolina,NC,Canada
Contopus cooperi,North Carolina,NC,United States
Speyeria zerene hippolyta,Oregon,OR,United States
Speyeria zerene hippolyta,California,CA,United States
Speyeria zerene hippolyta,California,CA,United States
Speyeria zerene hippolyta,Oregon,OR,United States
Rana pretiosa,Washington,WA,Canada
Rana pretiosa,Oregon,OR,United States
Rana pretiosa,Oregon,OR,Canada
Rana pretiosa,California,CA,United States
Rana pretiosa,Oregon,OR,Canada
Rana pretiosa,Washington,WA,United States
Rana pretiosa,Washington,WA,United States
Rana pretiosa,California,CA,United States
Rana pretiosa,Oregon,OR,United States
Rana pretiosa,California,CA,Canada
Rana pretiosa,California,CA,Canada
Rana pretiosa,Washington,WA,Canada
Astragalus osterhoutii,Colorado,CO,United States
Astragalus osterhoutii,Colorado,CO,United States
Pogogyne nudiuscula,California,CA,United States
Pleurobema pyriforme,Florida,FL,United States
Pleurobema pyriforme,Georgia,GA,United States
Pleurobema pyriforme,Alabama,AL,United States
Epioblasma capsaeformis,Tennessee,TN,United States
Epioblasma capsaeformis,Alabama,AL,United States
Epioblasma capsaeformis,Kentucky,KY,United States
Epioblasma capsaeformis,Virginia,VA,United States
Epioblasma capsaeformis,Tennessee,TN,United States
Epioblasma capsaeformis,Alabama,AL,United States
Epioblasma capsaeformis,Virginia,VA,United States
Epioblasma capsaeformis,Kentucky,KY,United States
Corynorhinus (=Plecotus) townsendii ingens,Oklahoma,OK,United States
Corynorhinus (=Plecotus) townsendii ingens,Arkansas,AR,United States
Corynorhinus (=Plecotus) townsendii ingens,Missouri,MO,United States
Amblyopsis rosae,Oklahoma,OK,United States
Amblyopsis rosae,Missouri,MO,United States
Amblyopsis rosae,Arkansas,AR,United States
Amblyopsis rosae,Kansas,KS,United States
Cryptobranchus alleganiensis bishopi,Missouri,MO,United States
Cryptobranchus alleganiensis bishopi,Missouri,MO,United States
Cryptobranchus alleganiensis bishopi,Arkansas,AR,United States
Cryptobranchus alleganiensis bishopi,Arkansas,AR,United States
Megalagrion pacificum,Hawaii,HI,United States
Ipomopsis polyantha,Colorado,CO,United States
Ipomopsis polyantha,Colorado,CO,United States
Oncorhynchus clarkii seleniris,California,CA,United States
Scaphirhynchus albus,South Dakota,SD,United States
Scaphirhynchus albus,Tennessee,TN,United States
Scaphirhynchus albus,Kansas,KS,United States
Scaphirhynchus albus,Tennessee,TN,United States
Scaphirhynchus albus,South Dakota,SD,United States
Scaphirhynchus albus,Kansas,KS,United States
Scaphirhynchus albus,Arkansas,AR,United States
Scaphirhynchus albus,Arkansas,AR,United States
Scaphirhynchus albus,Nebraska,NE,United States
Scaphirhynchus albus,Nebraska,NE,United States
Scaphirhynchus albus,Louisiana,LA,United States
Scaphirhynchus albus,Louisiana,LA,United States
Scaphirhynchus albus,Montana,MT,United States
Scaphirhynchus albus,Montana,MT,United States
Scaphirhynchus albus,Iowa,IA,United States
Scaphirhynchus albus,Iowa,IA,United States
Scaphirhynchus albus,Mississippi,MS,United States
Scaphirhynchus albus,Mississippi,MS,United States
Scaphirhynchus albus,Illinois,IL,United States
Scaphirhynchus albus,Illinois,IL,United States
Scaphirhynchus albus,North Dakota,ND,United States
Scaphirhynchus albus,Kentucky,KY,United States
Scaphirhynchus albus,Kentucky,KY,United States
Scaphirhynchus albus,Missouri,MO,United States
Scaphirhynchus albus,Missouri,MO,United States
Scaphirhynchus albus,North Dakota,ND,United States
Calyptronoma rivalis,Puerto Rico,PR,United States
Cornutia obovata,Puerto Rico,PR,United States
Banara vanderbiltii,Puerto Rico,PR,United States
Ottoschulzia rhodoxylon,Puerto Rico,PR,United States
Glaucopsyche lygdamus palosverdesensis,California,CA,United States
Procambarus econfinae,Florida,FL,United States
Penstemon debilis,Colorado,CO,United States
Penstemon debilis,Colorado,CO,United States
Penstemon debilis,Utah,UT,United States
Penstemon debilis,Utah,UT,United States
Hesperia leonardus montana,Colorado,CO,United States
Percina aurora,Mississippi,MS,United States
Assiminea pecos,Texas,TX,United States
