common_name,scientific_name,species_group,esa_status,foreign_or_domestic,state,state_abbr,country
Sheepnose Mussel,Plethobasus cyphyus,Clams,Endangered,Domestic,Indiana,IN,United States
Sheepnose Mussel,Plethobasus cyphyus,Clams,Endangered,Domestic,Kentucky,KY,United States
Sheepnose Mussel,Plethobasus cyphyus,Clams,Endangered,Domestic,Virginia,VA,United States
Sheepnose Mussel,Plethobasus cyphyus,Clams,Endangered,Domestic,Wisconsin,WI,United States
Sheepnose Mussel,Plethobasus cyphyus,Clams,Endangered,Domestic,Missouri,MO,United States
Sheepnose Mussel,Plethobasus cyphyus,Clams,Endangered,Domestic,Illinois,IL,United States
Sheepnose Mussel,Plethobasus cyphyus,Clams,Endangered,Domestic,Ohio,OH,United States
Shenandoah salamander,Plethodon shenandoah,Amphibians,Endangered,Domestic,Virginia,VA,United States
Shiny pigtoe,Fusconaia cor,Clams,Endangered,Domestic,Tennessee,TN,United States
Shiny pigtoe,Fusconaia cor,Clams,Endangered,Domestic,Alabama,AL,United States
Shiny pigtoe,Fusconaia cor,Clams,Endangered,Domestic,Virginia,VA,United States
Shinyrayed pocketbook,Lampsilis subangulata,Clams,Endangered,Domestic,Alabama,AL,United States
Shinyrayed pocketbook,Lampsilis subangulata,Clams,Endangered,Domestic,Georgia,GA,United States
Shinyrayed pocketbook,Lampsilis subangulata,Clams,Endangered,Domestic,Florida,FL,United States
Shortnose Sucker,Chasmistes brevirostris,Fishes,Endangered,Domestic,Oregon,OR,United States
Shortnose Sucker,Chasmistes brevirostris,Fishes,Endangered,Domestic,California,CA,United States
Short's goldenrod,Solidago shortii,Flowering Plants,Endangered,Domestic,Kentucky,KY,United States
Short's goldenrod,Solidago shortii,Flowering Plants,Endangered,Domestic,Indiana,IN,United States
Short-tailed albatross,Phoebastria (=Diomedea) albatrus,Birds,Endangered,Both Domestic and Foreign,California,CA,United States
Short-tailed albatross,Phoebastria (=Diomedea) albatrus,Birds,Endangered,Both Domestic and Foreign,Washington,WA,United States
Short-tailed albatross,Phoebastria (=Diomedea) albatrus,Birds,Endangered,Both Domestic and Foreign,Oregon,OR,United States
