"common_name","esa_status","species_group","state"
"Purple bankclimber (mussel)","Threatened","Clams","Alabama"
"Purple bean","Endangered","Clams","Tennessee"
"Purple bean","Endangered","Clams","Virginia"
"Purple Cat's paw (=Purple Cat's paw pearlymussel)","Endangered","Clams","Alabama"
"Purple Cat's paw (=Purple Cat's paw pearlymussel)","Endangered","Clams","Kentucky"
"Purple Cat's paw (=Purple Cat's paw pearlymussel)","Endangered","Clams","Tennessee"
"Purple Cat's paw (=Purple Cat's paw pearlymussel)","Endangered","Clams","Ohio"
"Quino checkerspot butterfly","Endangered","Insects","California"
"Rayed Bean","Endangered","Clams","Michigan"
"Rayed Bean","Endangered","Clams","West Virginia"
"Rayed Bean","Endangered","Clams","Kentucky"
"Rayed Bean","Endangered","Clams","Indiana"
"Rayed Bean","Endangered","Clams","Tennessee"
"Rayed Bean","Endangered","Clams","Ohio"
"Rayed Bean","Endangered","Clams","New York"
"Rayed Bean","Endangered","Clams","Virginia"
"Rayed Bean","Endangered","Clams","Pennsylvania"
"Razorback sucker","Endangered","Fishes","California"
"Razorback sucker","Endangered","Fishes","Utah"
"Razorback sucker","Endangered","Fishes","Nevada"
"Razorback sucker","Endangered","Fishes","New Mexico"
"Razorback sucker","Endangered","Fishes","Arizona"
"Razorback sucker","Endangered","Fishes","Colorado"
"Red-cockaded woodpecker","Endangered","Birds","Georgia"
"Red-cockaded woodpecker","Endangered","Birds","Virginia"
"Red-cockaded woodpecker","Endangered","Birds","South Carolina"
"Red-cockaded woodpecker","Endangered","Birds","Missouri"
"Red-cockaded woodpecker","Endangered","Birds","Alabama"
"Red-cockaded woodpecker","Endangered","Birds","Louisiana"
"Red-cockaded woodpecker","Endangered","Birds","Arkansas"
"Red-cockaded woodpecker","Endangered","Birds","Mississippi"
"Red-cockaded woodpecker","Endangered","Birds","Florida"
"Red-cockaded woodpecker","Endangered","Birds","North Carolina"
"Red-cockaded woodpecker","Endangered","Birds","Oklahoma"
"Red-cockaded woodpecker","Endangered","Birds","Texas"
"Red crossbill","Species of Concern","Birds","North Carolina"
"Reddish egret","Species of Concern","Birds","Florida"
"Red Hills salamander","Threatened","Amphibians","Alabama"
"Red knot","Threatened","Birds","Maryland"
"Red knot","Threatened","Birds","Arkansas"
"Red knot","Threatened","Birds","Michigan"
"Red knot","Threatened","Birds","Louisiana"
"Red knot","Threatened","Birds","Rhode Island"
"Red knot","Threatened","Birds","Montana"
"Red knot","Threatened","Birds","North Carolina"
"Red knot","Threatened","Birds","Indiana"
"Red knot","Threatened","Birds","Florida"
"Red knot","Threatened","Birds","Mississippi"
"Red knot","Threatened","Birds","Delaware"
"Red knot","Threatened","Birds","West Virginia"
"Red knot","Threatened","Birds","Alabama"
"Red knot","Threatened","Birds","Illinois"
"Red knot","Threatened","Birds","North Dakota"
"Red knot","Threatened","Birds","Virginia"
"Red knot","Threatened","Birds","Kansas"
"Red knot","Threatened","Birds","Ohio"
"Red knot","Threatened","Birds","Massachusetts"
"Red knot","Threatened","Birds","New York"
"Red knot","Threatened","Birds","Wisconsin"
"Red knot","Threatened","Birds","Texas"
"Red knot","Threatened","Birds","Missouri"
"Red knot","Threatened","Birds","New Hampshire"
"Red knot","Threatened","Birds","Pennsylvania"
"Red knot","Threatened","Birds","Oklahoma"
"Red knot","Threatened","Birds","Minnesota"
"Red knot","Threatened","Birds","South Carolina"
"Red knot","Threatened","Birds","New Jersey"
"Red knot","Threatened","Birds","Connecticut"
"Red knot","Threatened","Birds","Nebraska"
"Red knot","Threatened","Birds","Georgia"
"Red knot","Threatened","Birds","South Dakota"
"Red knot","Threatened","Birds","Maine"
"Red-legged kittiwake","Species of Concern","Birds","Alaska"
"Red wolf","Endangered","Mammals","Florida"
"Relict trillium","Endangered","Flowering Plants","South Carolina"
"Relict trillium","Endangered","Flowering Plants","Alabama"
"Relict trillium","Endangered","Flowering Plants","Georgia"
"Ring pink (mussel)","Endangered","Clams","Kentucky"
"Ring pink (mussel)","Endangered","Clams","Tennessee"
"Ring pink (mussel)","Endangered","Clams","Alabama"
"Rio Grande Silvery Minnow","Endangered","Fishes","New Mexico"
"Rio Grande Silvery Minnow","Endangered","Fishes","Texas"
"Riparian brush rabbit","Endangered","Mammals","California"
"Riparian woodrat (=San Joaquin Valley)","Endangered","Mammals","California"
"Roseate tern","Endangered","Birds","Virginia"
"Roseate tern","Endangered","Birds","New Jersey"
"Roseate tern","Endangered","Birds","North Carolina"
"Roseate tern","Endangered","Birds","Massachusetts"
"Roseate tern","Threatened","Birds","Virgin Islands"
"Roseate tern","Threatened","Birds","Puerto Rico"
"Roseate tern","Endangered","Birds","Rhode Island"
"Roseate tern","Endangered","Birds","New York"
"Roseate tern","Endangered","Birds","Connecticut"
"Roseate tern","Threatened","Birds","Florida"
"Roseate tern","Endangered","Birds","Maine"
"Roseate tern","Endangered","Birds","New Hampshire"
"Roswell springsnail","Endangered","Snails","New Mexico"
"Rough-leaved loosestrife","Endangered","Flowering Plants","South Carolina"
"Rough-leaved loosestrife","Endangered","Flowering Plants","North Carolina"
"Rough pigtoe","Endangered","Clams","Virginia"
"Rough pigtoe","Endangered","Clams","Alabama"
"Rough pigtoe","Endangered","Clams","Indiana"
"Rough pigtoe","Endangered","Clams","Tennessee"
"Rough pigtoe","Endangered","Clams","Kentucky"
"rough popcornflower","Endangered","Flowering Plants","Oregon"
"Round-tailed muskrat","Species of Concern","Mammals","Florida"
"Ruddy Duck","Species of Concern","Birds","Puerto Rico"
"Ruddy Duck","Species of Concern","Birds","Virgin Islands"
"Running buffalo clover","Endangered","Flowering Plants","Kentucky"
"Running buffalo clover","Endangered","Flowering Plants","Arkansas"
"Running buffalo clover","Endangered","Flowering Plants","Missouri"
"Running buffalo clover","Endangered","Flowering Plants","West Virginia"
"Running buffalo clover","Endangered","Flowering Plants","Pennsylvania"
"Running buffalo clover","Endangered","Flowering Plants","Indiana"
"Running buffalo clover","Endangered","Flowering Plants","Ohio"
"Rush Darter","Endangered","Fishes","Alabama"
"Rusty patched bumble bee","Endangered","Insects","Virginia"
"Rusty patched bumble bee","Endangered","Insects","Massachusetts"
"Rusty patched bumble bee","Endangered","Insects","Illinois"
"Rusty patched bumble bee","Endangered","Insects","Wisconsin"
"Rusty patched bumble bee","Endangered","Insects","Ohio"
"Rusty patched bumble bee","Endangered","Insects","West Virginia"
"Rusty patched bumble bee","Endangered","Insects","Indiana"
"Rusty patched bumble bee","Endangered","Insects","Iowa"
"Rusty patched bumble bee","Endangered","Insects","Minnesota"
"Rusty patched bumble bee","Endangered","Insects","Maine"
"Salado Salamander","Threatened","Amphibians","Texas"
"Salt marsh bird's-beak","Endangered","Flowering Plants","California"
"Saltmarsh Sparrow","Species of Concern","Birds","South Carolina"
"Saltwater crocodile","Endangered","Reptiles","Palau"
"San Bernardino Merriam's kangaroo rat","Endangered","Mammals","California"
"San Bruno elfin butterfly","Endangered","Insects","California"
"San Diego ambrosia","Endangered","Flowering Plants","California"
"San Diego black-tailed jackrabbit","Species of Concern","Mammals","California"
"San Diego button-celery","Endangered","Flowering Plants","California"
"San Diego fairy shrimp","Endangered","Crustaceans","California"
"San Diego mesa-mint","Endangered","Flowering Plants","California"
"San Diego thornmint","Threatened","Flowering Plants","California"
"Sand skink","Threatened","Reptiles","Florida"
"San Joaquin kit fox","Endangered","Mammals","California"
"San Marcos salamander","Threatened","Amphibians","Texas"
"Santa Ana sucker","Threatened","Fishes","California"
"Santa Barbara song sparrow","Extinction","Birds","California"
"Santa Monica Mountains dudleyea","Threatened","Flowering Plants","California"
"Seabeach amaranth","Threatened","Flowering Plants","Maryland"
"Seabeach amaranth","Threatened","Flowering Plants","New York"
"Seabeach amaranth","Threatened","Flowering Plants","Virginia"
"Seabeach amaranth","Threatened","Flowering Plants","South Carolina"
"Seabeach amaranth","Threatened","Flowering Plants","New Jersey"
"Seabeach amaranth","Threatened","Flowering Plants","North Carolina"
"Seabeach amaranth","Threatened","Flowering Plants","Delaware"
"Seabeach amaranth","Threatened","Flowering Plants","Massachusetts"
"Sharp shinned hawk","Species of Concern","Birds","California"
"Sheepnose Mussel","Endangered","Clams","West Virginia"
"Sheepnose Mussel","Endangered","Clams","Minnesota"
"Sheepnose Mussel","Endangered","Clams","Pennsylvania"
"Sheepnose Mussel","Endangered","Clams","Iowa"
"Sheepnose Mussel","Endangered","Clams","Mississippi"
"Sheepnose Mussel","Endangered","Clams","Tennessee"
"Sheepnose Mussel","Endangered","Clams","Alabama"
"Sheepnose Mussel","Endangered","Clams","Indiana"
"Sheepnose Mussel","Endangered","Clams","Kentucky"
"Sheepnose Mussel","Endangered","Clams","Virginia"
"Sheepnose Mussel","Endangered","Clams","Wisconsin"
"Sheepnose Mussel","Endangered","Clams","Missouri"
"Sheepnose Mussel","Endangered","Clams","Illinois"
"Sheepnose Mussel","Endangered","Clams","Ohio"
"Shenandoah salamander","Endangered","Amphibians","Virginia"
"Shiny pigtoe","Endangered","Clams","Tennessee"
"Shiny pigtoe","Endangered","Clams","Alabama"
"Shiny pigtoe","Endangered","Clams","Virginia"
"Shinyrayed pocketbook","Endangered","Clams","Alabama"
"Shinyrayed pocketbook","Endangered","Clams","Georgia"
"Shinyrayed pocketbook","Endangered","Clams","Florida"
"Shortnose Sucker","Endangered","Fishes","Oregon"
"Shortnose Sucker","Endangered","Fishes","California"
"Short's goldenrod","Endangered","Flowering Plants","Kentucky"
"Short's goldenrod","Endangered","Flowering Plants","Indiana"
"Short-tailed albatross","Endangered","Birds","California"
"Short-tailed albatross","Endangered","Birds","Washington"
"Short-tailed albatross","Endangered","Birds","Oregon"
"Short-tailed albatross","Endangered","Birds","Alaska"
"Short-tailed albatross","Endangered","Birds","Hawaii"
"Showy Indian clover","Endangered","Flowering Plants","California"
"Sierra Nevada bighorn sheep","Endangered","Mammals","California"
"Slabside Pearlymussel","Endangered","Clams","North Carolina"
"Slabside Pearlymussel","Endangered","Clams","Alabama"
"Slabside Pearlymussel","Endangered","Clams","Mississippi"
"Slabside Pearlymussel","Endangered","Clams","Kentucky"
"Slabside Pearlymussel","Endangered","Clams","Virginia"
"Slabside Pearlymussel","Endangered","Clams","Tennessee"
"Slender chub","Threatened","Fishes","Tennessee"
"Slender chub","Threatened","Fishes","Virginia"
"Sneed pincushion cactus","Endangered","Flowering Plants","New Mexico"
"Sneed pincushion cactus","Endangered","Flowering Plants","Texas"
"Song Sparrow","Species of Concern","Birds","California"
"Song Sparrow","Species of Concern","Birds","California"
"Song Sparrow","Species of Concern","Birds","California"
"Sonora chub","Threatened","Fishes","Arizona"
"Sonoran pronghorn","Endangered","Mammals","Arizona"
"Southeastern American kestrel","Species of Concern","Birds","Florida"
"Southeastern beach mouse","Threatened","Mammals","Florida"
"Southern clubshell","Endangered","Clams","Mississippi"
"Southern clubshell","Endangered","Clams","Georgia"
"Southern clubshell","Endangered","Clams","Alabama"
"Southern clubshell","Endangered","Clams","Tennessee"
"Southern combshell","Endangered","Clams","Alabama"
"Southern combshell","Endangered","Clams","Mississippi"
"Southern mountain wild-buckwheat","Threatened","Flowering Plants","California"
"Southern pigtoe","Endangered","Clams","Georgia"
"Southern pigtoe","Endangered","Clams","Alabama"
"Southern pigtoe","Endangered","Clams","Tennessee"
"Southern sandshell","Threatened","Clams","Florida"
"Southern sandshell","Threatened","Clams","Alabama"
"Southern sea otter","Threatened","Mammals","California"
"Southwestern willow flycatcher","Endangered","Birds","California"
